record_id|record_kind|council_clean|constituency_clean|ward_clean|project_name_clean|project_type_clean|status_clean|year_clean|amount_zmw_raw_kept|amount_zmw|funding_source_clean|source_title_clean|source_url_clean|council|constituency|serial_number_raw|ward_raw|project_name_raw|status_raw|year_raw|funding_source_raw|amount_zmw_raw|source_title|source_url|extraction_note|activity_type_raw|description_raw|quantity_raw|source_type
CDF0011|project|Samfya Town Council|Bangweulu Constituency|Lupili|Procurement And Installation Of Solar At Bangwela Radio Station||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|11|Lupili|Procurement And Installation Of Solar At Bangwela Radio Station|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0012|project|Samfya Town Council|Bangweulu Constituency|Lupili|Construction Of Mwamfuli Market||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|12|Lupili|Construction Of Mwamfuli Market|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0013|project|Samfya Town Council|Bangweulu Constituency|Katanshya|Construction Of 1×3 Classroom Block At Mumpu Community School||Under procurement|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|13|Katanshya|Construction Of 1×3 Classroom Block At Mumpu Community School|Under procurement|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0014|project|Samfya Town Council|Bangweulu Constituency|Kapata|Improvement of Chinsanka rural health Centre||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|1|Kapata|Improvement of Chinsanka rural health Centre|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0015|project|Samfya Town Council|Bangweulu Constituency|Kapata|Re-construction of the roof at Chimembe Primary School under disaster component||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|2|Kapata|Re-construction of the roof at Chimembe Primary School under disaster component|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0016|project|Samfya Town Council|Bangweulu Constituency|Kapata|Construction of Chinsanka Market under disaster component||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|3|Kapata|Construction of Chinsanka Market under disaster component|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0017|project|Samfya Town Council|Bangweulu Constituency|Kapata|9km Kansenga canal under disaster component||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|4|Kapata|9km Kansenga canal under disaster component|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0018|project|Samfya Town Council|Bangweulu Constituency|Kapilibila|Rehabilitation Of Kasanka Rural Health Centre (MCH)||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|5|Kapilibila|Rehabilitation Of Kasanka Rural Health Centre (MCH)|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0019|project|Samfya Town Council|Bangweulu Constituency|Isamba|Construction of Maternity Annex at Mabo Kunda Rural Health Centre||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|6|Isamba|Construction of Maternity Annex at Mabo Kunda Rural Health Centre|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0020|project|Samfya Town Council|Bangweulu Constituency|Lupili|Construction of Library and tools rental Centre||Unknown|2025|||Constituency Development Fund (CDF)|JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|Samfya Town Council|Bangweulu Constituency|7|Lupili|Construction of Library and tools rental Centre|Completed / ready for commissioning|2025|Constituency Development Fund (CDF)||JULY MINUTE BOOK 2025|https://www.samfyacouncil.gov.zm/wp-content/uploads/2025/12/JULY-MINUTE-BOOK-2025.pdf|table extraction from publicly indexed council minutes||||
CDF0021|project|Samfya Town Council|Bangweulu Constituency|Isamba|Mabo Kunda maternity annex||Unknown|2025|2256000|2256000.0|Constituency Development Fund (CDF)|SAMFYA’S CHINSANKA AND MABO KUNDA COMMUNITIES RECEIVE NEW HEALTH FACILITIES|https://www.samfyacouncil.gov.zm/?p=2346|Samfya Town Council|Bangweulu Constituency||Isamba|Mabo Kunda maternity annex|Commissioned|2025|Constituency Development Fund (CDF)|2256000|SAMFYA’S CHINSANKA AND MABO KUNDA COMMUNITIES RECEIVE NEW HEALTH FACILITIES|https://www.samfyacouncil.gov.zm/?p=2346|news article raw record; may duplicate minute-book project||||
CDF0022|project|Samfya Town Council|Bangweulu Constituency|Kapata|Chinsanka Rural Health Center maternity annex||Unknown|2025|1181000|1181000.0|Constituency Development Fund (CDF)|SAMFYA’S CHINSANKA AND MABO KUNDA COMMUNITIES RECEIVE NEW HEALTH FACILITIES|https://www.samfyacouncil.gov.zm/?p=2346|Samfya Town Council|Bangweulu Constituency||Kapata|Chinsanka Rural Health Center maternity annex|Commissioned|2025|Constituency Development Fund (CDF)|1181000|SAMFYA’S CHINSANKA AND MABO KUNDA COMMUNITIES RECEIVE NEW HEALTH FACILITIES|https://www.samfyacouncil.gov.zm/?p=2346|news article raw record; may duplicate minute-book/health project||||
CDF0023|activity|Samfya Town Council|Bangweulu Constituency||CDF disbursement to 140 community groups; cumulative beneficiary groups reported as over 600 since 2022.|Empowerment Grants|Unknown|2026|2800000|2800000.0|Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=2841|Samfya Town Council||||||2026||2800000||https://www.samfyacouncil.gov.zm/?p=2841||Empowerment grants|CDF disbursement to 140 community groups; cumulative beneficiary groups reported as over 600 since 2022.|140 groups|Council news article
CDF0024|activity|Samfya Town Council|Bangweulu Constituency|Musaba; Mano; Lupili; Other Areas|Article reports over K3 million annual allocation to CDF roads component; 26 km township roads concluded and 30 km feeder roads opened.|Road Construction / Rehabilitation|Unknown|2025|>3000000|3000000.0|Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=2429|Samfya Town Council|||Musaba; Mano; Lupili; other areas|||2025||>3000000||https://www.samfyacouncil.gov.zm/?p=2429||Road construction / rehabilitation|Article reports over K3 million annual allocation to CDF roads component; 26 km township roads concluded and 30 km feeder roads opened.|26 km township roads; 30 km feeder roads|Council news article
CDF0025|activity|Samfya Town Council|Bangweulu Constituency|All Ten Wards|Procurement of desks for schools in all ten wards under 2023 Bangweulu CDF.|School Desks Procurement|Unknown|2023|>6000000|6000000.0|Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=1273|Samfya Town Council|||All ten wards|||2023||>6000000||https://www.samfyacouncil.gov.zm/?p=1273||School desks procurement|Procurement of desks for schools in all ten wards under 2023 Bangweulu CDF.|4249 desks|Council news article
CDF0026|activity|Samfya Town Council|Bangweulu Constituency|Across Ten Wards|Seventeen construction projects reported from 2022 CDF funding, including 19 classrooms and 5 health facilities.|Infrastructure Portfolio|Unknown|2022|12800000|12800000.0|Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=1644|Samfya Town Council|||Across ten wards|||2022||12800000||https://www.samfyacouncil.gov.zm/?p=1644||Infrastructure portfolio|Seventeen construction projects reported from 2022 CDF funding, including 19 classrooms and 5 health facilities.|17 projects; 19 classrooms; 5 health facilities|Council news article
CDF0027|activity|Samfya Town Council|Bangweulu Constituency|District-Wide|TLB and compactor procured for infrastructure and road construction using 2022 CDF.|Earth Moving Equipment Procurement|Unknown|2022|||Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=1280|Samfya Town Council|||District-wide|||2022||||https://www.samfyacouncil.gov.zm/?p=1280||Earth moving equipment procurement|TLB and compactor procured for infrastructure and road construction using 2022 CDF.|1 TLB; 1 compactor|Council news article
CDF0028|activity|Samfya Town Council|Bangweulu Constituency|Samfya Central|Harbor and support facilities reported completed and awaiting commissioning; Ministry of Transport and Logistics funded, not labelled CDF.|Harbor Construction|Unknown|2026|>30000000|30000000.0|Constituency Development Fund (CDF)|Council news article|https://www.samfyacouncil.gov.zm/?p=2839|Samfya Town Council|||Samfya|||2026||>30000000||https://www.samfyacouncil.gov.zm/?p=2839||Harbor construction|Harbor and support facilities reported completed and awaiting commissioning; Ministry of Transport and Logistics funded, not labelled CDF.|Landing jet; nine-key lodge; recreation facilities; car park|Council news article
